abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
elegant,[5eligEnt],"adj.文雅的, 端庄的, 雅致的, <口>上品的, 第一流的"
elevate,[5eliveit],"vt.举起, 提拔, 振奋, 提升...的职位"
elicit,[i5lisit],"vt.得出, 引出, 抽出, 引起"
eligible,[5elidVEbl],"adj.符合条件的, 合格的"
elite,[ei5li:t],"n.<法>[集合名词]精华, 精锐, 中坚分子"
eloquent,[5elEkwEnt],"adj.雄辩的, 有口才的, 动人的, 意味深长的"
embark,[im5bB:k],"v.上船, 上飞机, 着手, 从事, 装于船上, 登上"
embassy,[5embEsi],"n.大使及其随员, 大使的派遣, 大使馆"
embed,[im5bed],"vt.使插入, 使嵌入, 深留, 嵌入, [医]包埋"
embody,[im5bCdi],"vt.具体表达, 使具体化, 包含, 收录"
empirical,[em5pirikEl],"adj.完全根据经验的, 经验主义的, [化]实验式"
enclosure,[in5klEuVE],"n.围住, 围栏, 四周有篱笆或围墙的场地"
endeavor,[in5devE],"n.努力, 尽力//vi.尽力, 努力"
endow,[in5dau],"v.捐赠, 赋予"
endurance,[in5djurEns],"n.忍耐(力), 持久(力), 耐久(性)某〉"
energetic,[7enE5dVetik],"adj.精力充沛的, 积极的"
engagement,[in5geidVmEnt],"n.约会, 婚约, 诺言, 交战, 接站, 雇拥, [机]接合"
enhance,[in5hB:ns],"vt.提高, 增强//v.提高"
enlighten,[in5laitn],"vt.启发, 启蒙, 教导, 授予...知识, 开导, <古>照耀"
enrich,[in5ritF],"vt.使富足, 使肥沃, 装饰, 加料于, 浓缩"
enroll,[in5rEul],"v.[亦作enrol] 登记, 招收, 使入伍(或入会、入学等), 参加, 成为成员"
ensue,[in5sju:],"vi.跟着发生, 继起//vt.(基督教《圣经》用语)追求"
entail,[in5teil],"vt.使必需, 使蒙受, 使承担, 遗传给//n.[建]限定继承权"
enterprise,[5entEpraiz],"n.企业, 事业, 计划, 事业心, 进取心, 干事业"
entertainment,[entE5teinmEnt],"n.款待, 娱乐, 娱乐表演"
enthusiastic,[in7Wju:zi5Astik],"adj.热心的, 热情的"
entity,[5entiti],n.实体
entrepreneur,[7CntrEprE5nE:],"n.<法>企业家, 主办人"
envisage,[in5vizidV; en-],v.正视
episode,[5episEud],"n.一段情节, [音]插曲, 插话, 有趣的事件"
epoch,[5i:pCk; 5epCk],"n.新纪元, 时代, 时期, 时间上的一点, [地质]世"
equator,[i5kweitE],"n.赤道, 赤道似的圈.圆"
equilibrium,[7i:kwi5libriEm],"n.平衡, 平静, 均衡, 保持平衡的能力, 沉着, 安静"
erosion,[i5rEuVEn],"n.腐蚀, 侵蚀"
erroneous,[i5rEunjEs],"adj.错误的, 不正确的"
erupt,[i5rQpt],vt.喷出//vi.爆发
escort,[is5kC:t],"n.护卫(队), 护送, 陪同(人员), 护卫队//v.护卫, 护送, 陪同"
essence,[5esns],"n.基本, [哲]本质, 香精"
estate,[i5steit],"n.状态, 不动产, 时期, 阶层, 财产"
esthetic,[i:s5Wetik],adj.感觉的
eternal,[i(:)5tE:nl],"adj.永恒的, 永远的, 不灭的, 没完没了的"
ethics,[5eWiks],"n.偶尔, 道德规范"
ethnic,[5eWnik],"adj.人种的, 种族的, 异教徒的"
evoke,[i5vEuk],"vt.唤起, 引起, 博得"
exceptional,[ik5sepFEnl],"adj.例外的, 异常的"
exclusive,[iks5klu:siv],"adj.排外的, 孤高的, 唯我独尊的, 独占的, 唯一的, 高级的"
execution,[7eksi5kju:FEn],"n.实行, 完成, 执行, 死刑, 制作, (武器等的)破坏效果, 杀伤力"
exemplify,[ig5zemplifai],"vt.例证, 例示, 作为...例子"
exempt,[ig5zempt],v.免除//adj.被免除的
exile,[5eksail; 5egz-],"n.放逐, 充军, 流放, 流犯, 被放逐者//vt.放逐, 流放, 使背井离乡"
exotic,[ig5zCtik],"adj.异国情调的, 外来的, 奇异的"
expedition,[7ekspi5diFEn],"n.远征, 探险队, 迅速, 派遣"
expel,[iks5pel],"v.驱逐, 开除, 排出, 发射"
expend,[iks5pend],"vt.花费, 消耗, 支出, [海]把(暂时不用的绳)绕在杆上"
expenditure,[iks5penditFE; eks-],"n.支出, 花费"
expertise,[7ekspE5ti:z],"n.专家的意见, 专门技术"
expire,[iks5paiE; eks-],"v.期满, 终止, 呼气, 断气, 届满"
explicit,[iks5plisit],"adj.外在的, 清楚的, 直率的, (租金等)直接付款的"
exposition,[7ekspE5ziFEn],"n.博览会, 展览会, 说明, 曝露, [戏]展示部分, [音]呈示部"
exquisite,[5ekskwizit],"adj.优美的, 高雅的, 精致的, 剧烈的, 异常的, 细腻的, 敏锐的"
extinct,[iks5tiNkt],"adj.熄灭的, 灭绝的, 耗尽的//vt.<古>使熄灭"
extinguish,[iks5tiNgwiF],"vt.熄灭, 消灭, 压制, 使黯然失色, 偿清"
extract,[iks5trAkt],"n.精, 汁, 榨出物, 摘录, 选粹//vt.拔出, 榨取, 开方, 求根, 摘录, 析取, 吸取"
extravagant,[iks5trAvEgEnt],"adj.奢侈的, 浪费的, 过分的, 放纵的"
fabricate,[5fAbrikeit],"vt.制作, 构成, 捏造, 伪造, 虚构"
facet,[5fAsit],"n.(多面体的)面, (宝石等的)刻面, 小平面, 方面, 琢面//vt.在...上刻画"
facilitate,[fE5siliteit],"vt.（不以人作主语的）使容易, 使便利, 推动, 帮助, 使容易, 促进"
fake,[feik],"n.假货, 欺骗//adj.假的//vt.伪造, 赝造, 捏造, 假造, 仿造//vi.伪装"
fantastic,[fAn5tAstik],"adj.幻想的, 奇异的, 稀奇古怪的, 荒谬的, 空想的"
fantasy,[5fAntEsi; 5fAntEzi],"n.幻想, 白日梦"
fascinate,[5fAsineit],"vt.使着迷, 使神魂颠倒//vi.入迷, 极度迷人的"
fax,[fAks],n.vt.传真
feast,[fi:st],"n.节日, 盛宴, 筵席, 宴会, 酒席//vt.盛宴, 款待, 享乐, 请客//vi.参加宴会, 享受"
federation,[7fedE5reiFEn],"n.同盟, 联邦, 联合, 联盟"
feeble,[5fi:bl],"adj.虚弱的, 衰弱的, 无力的, 微弱的, 薄弱的"
fellowship,[5felEuFip],"n.伙伴关系, 交情, 团体, 奖学金, 友谊"
feminine,[5feminin],"adj.妇女(似)的, 娇柔的, 阴性的, 女性的"
ferry,[5feri],"n.摆渡, 渡船, 渡口//vt.渡运, (乘渡船)渡过, 运送//vi.摆渡, (船)来往行驶"
finite,[5fainait],"adj.有限的, [数]有穷的, 限定的"
fist,[fist],"n.拳头, 手, 抓住, 抓牢//vt.拳打, 握成拳, 紧握"
fitting,[5fitiN],"adj.适合的, 相称的, 适宜的//n.试穿, 试衣, 装配, 装置"
fixture,[5fikstFE],"n.固定设备, 预定日期, 比赛时间, [机]装置器, 工作夹具"
flank,[flANk],"n.腰窝, 侧面, 军队侧翼, 侧腹, 胁, 腰窝肉//vt.在...的侧面, 侧翼包围, 守侧面//vi.侧面与...相接"
flap,[flAp],"n.拍打, 拍打声, 副翼//v.拍打, 鼓翼而飞, 飘动, 拉下(帽)的边, 扔, 掷"
flare,[flZE],"n.闪光, 闪耀//vi.闪光, 突然烧起来, 闪耀//vt.使闪耀, 使张开"
flatter,[5flAtE],"vt.过分夸赞, 奉承, 阿谀, 使高兴, 使满意, (画, 肖像上的形象)胜过(真人或实物).侧面与...相"
flaw,[flC:],"n.缺点, 裂纹, 瑕疵, 一阵狂风//vt.使破裂, 使有缺陷, 使无效//vi.生裂缝, 变的有缺陷"
flee,[fli:],"vt.逃避, 逃跑, 逃走//vi.消散, 逃, 消失"
fling,[fliN],"n.投, 掷, 猛冲, 暴躁的行动, 急冲, 嘲弄, 讥笑//vt.猛投, 抛, 掷, 使陷入, 挥动, 嘲笑, 扫视//vi.猛冲, 直冲, 急行"
fluctuate,[5flQktjueit],"vi.变动, 波动, 涨落, 上下, 动摇//vt.使动摇, 使波动, 使起伏"
flush,[flQF],"n.奔流, 晕红, 激动, 萌芽, 活力旺盛, 发烧, 一手同花的五张牌, 惊鸟//adj.挥霍的, 直接的, 丰足的, 泛滥的//adv.齐平地, 直接地//vi.(脸)发红, 奔涌, 充沛, 惊飞//vt.淹没, 冲洗, 使脸红, 使齐平, 使惊飞, 使激动"
flutter,[5flQtE],"n.摆动, 鼓翼, 烦扰//vi.鼓翼, 飘动, 悸动, 乱跳, 烦扰//vt.拍(翅), 使焦急"
foam,[fEum],"n.泡沫, 水沫, 泡沫材料, 泡沫橡皮, 泡沫塑料//vi.起泡沫, 冒汗水, 吐白沫//vt.使起泡沫"
foil,[fCil],"n.箔, 金属薄片, [建]叶形片, 烘托, 衬托//vt.衬托, 阻止, 挡开, 挫败, 贴箔于"
foremost,[5fC:mEust],"adj.(位置或时间)最先的, 最初的, 最重要的//adv.首要地, 首先"
foresee,[fC:5si:],"vt.预见, 预知"
format,[5fC:mAt; -mB:t],"n.开本, 版式, 形式, 格式//vt.安排...的格局(或规格), [计]格式化(磁盘)箔于"
formidable,[5fC:midEbl],"adj.强大的, 令人敬畏的, 可怕的, 艰难的"
formulate,[5fC:mjuleit],"vt.用公式表示, 明确地表达, 作简洁陈述//v.阐明"
fort,[fC:t],"n.堡垒, 边界上的贸易站"
forthcoming,[fC:W5kQmiN],adj.即将来临的//n.来临
forum,[5fC:rEm],"n.古罗马城镇的广场(或市场), 论坛, 法庭, 讨论会"
fossil,[5fCsl],"n.化石, 僵化的事物//adj.化石的, 陈腐的, 守旧的"
foster,[5fCstE],"vt.养育, 抚育, 培养, 鼓励, 抱(希望)//n.养育者, 鼓励者"
foul,[faul],"adj.污秽的, 邪恶的, 肮脏的, 淤塞的, 恶劣的//vt.弄脏, 妨害, 污蔑, 犯规, 淤塞//vi.腐烂, 犯规, 缠结//n.犯规, 缠绕//adv.违反规则地, 不正当地"
fracture,[5frAktFE],"n.破裂, 骨折//v.(使)破碎, (使)破裂"
fragile,[5frAdVail],"adj.易碎的, 脆的"
fraud,[frC:d],"n.欺骗, 欺诈行为, 诡计, 骗子, 假货"
fringe,[frindV],"n.边缘, 须边, 刘海//adj.边缘的, 额外的//v.在...上加以缘饰, 成为...的边缘"
frustrate,[frQs5treit],"v.挫败, 阻挠, 使感到灰心, 阻止"
furious,[5fjuEriEs],"adj.狂怒的, 狂暴的, 激烈的, 热烈兴奋的, 极为激烈"
fuse,[fju:z],"n.保险丝, 熔丝//v.熔合"
fusion,[5fju:VEn],"n.熔化, 熔解, 熔合, 熔接"
fuss,[fQs],"n.忙乱, 大惊小怪, 大惊小怪的人//v.忙乱, 大惊小怪"
galaxy,[5gAlEksi],"n.星系, 银河, 一群显赫的人, 一系列光彩夺目的东西"
gallery,[5gAlEri],"n.走廊、戏院、教堂等中最高的楼座, 美术陈列室, 画廊, 图库"
gamble,[5gAmbl],"n.冒险//v.赌博, 投机, 孤注一掷"
gaol,[dVeil; dVel],"n.(<英>=jail)监狱, 拘留所//vt.监禁"
garbage,[5gB:bidV],"n.垃圾, 废物"
garment,[5gB:mEnt],"n.衣服, 外衣, 外表"
gasp,[gB:sp],"vi.喘息, 气喘//vt.气吁吁地说"
gear,[giE],"n.齿轮, 传动装置//v.调整, (使)适合, 换档"
gene,[dVi:n],"n.[遗传]因子, [遗传]基因"
generalize,[5dVenErElaiz],"vt.归纳, 概括, 推广, 普及"
genetic,[dVi5netik],"adj.遗传的, 起源的"
geology,[dVi5ClEdVi],"n.地质学, 地质概况"
gigantic,[dVai5gAntik],"adj.巨人般的, 巨大的"
given,[5givn],"adj.赠予的, 沉溺的, 特定的, 假设的//vbl.give的过去分词"
glare,[glZE],"n.眩目的光, 显眼, 怒目而视, (冰等的表面)光滑的表面//v.闪耀"
gleam,[gli:m],"n.微弱的闪光, 一丝光线, 瞬息的一现//vi.闪烁, 隐约地闪现//vt.使发微光, 使闪烁"
glide,[glaid],"v.滑行, 悄悄地走, (时间)消逝, 滑翔//n.滑行, 滑翔, 滑移, 滑音"
glitter,[5glitE],"vi.闪闪发光, 闪烁, 闪光//n.闪光"
global,[5glEubEl],"adj.球形的, 全球的, 全世界的"
gloomy,[5glu:mi],"adj.黑暗的, 阴沉的, 令人沮丧的, 阴郁的"
gorgeous,[5gC:dVEs],"adj.华丽的, 灿烂的"
gossip,[5gCsip],"n.闲话, 闲谈"
grab,[grAb],"v.抢夺, 攫取, 夺取"
gracious,[5greiFEs],"adj.亲切的, 高尚的"
graze,[greiz],"v.放牧, 吃草, 擦伤, 擦过//n.放牧, 牧草, 轻擦, 擦破处"
grease,[gri:s],"n.油脂, 贿赂//vt.涂脂于, <俗>贿赂"
grief,[gri:f],"n.悲痛, 伤心事, 不幸, 忧伤"
grieve,[gri:v],"v.(使)悲痛, (使)伤心, 忧伤"
grim,[grim],adj.严酷的
grin,[grin],"n.露齿笑, 裂口笑//v.露齿而笑"
groan,[grEun],"n.呻吟, 叹息//vi.呻吟, 受折磨, 受压迫发出嘎吱声//vt.呻吟着说"
grope,[grEup],v.n.摸索
guardian,[5gB:djEn],"n.护卫者, 保护人, 监护人//adj.守护的"
guideline,[],n.方针
guy,[gai],"n.家伙, 人"
hamper,[5hAmpE],"v.妨碍, 牵制"
handbook,[5hAnd7buk],"n.手册, 便览"
handicap,[5hAndikAp],"n.障碍, 阻碍, 障碍赛跑//v.妨碍, 使不利, 阻碍"
hasty,[5heisti],"adj.匆忙的, 草率的"
hatch,[hAtF],"n.孵化, 舱口, 舱口盖, (门、墙壁、地板上的)开口//vt.孵, 孵出, 策划, 图谋//vi.孵化"
haul,[hC:l],"n.用力拖拉, 拖, 拉, 捕获物, 努力得到的结果, (尤指)一网捕获的鱼量, 拖运距离//vi.拖, 拉, 改变方向, 改变主意//vt.拖拉, 拖运"
haunt,[hC:nt],v.神鬼出没
heal,[hi:l],"v.治愈, 医治, 结束"
hearing,[5hiEriN],"n.听力, 听觉, 听取意见, 听讼//v.倾听"
heave,[hi:v],v.举起//n.举起
heighten,[5haitn],"v.提高, 升高"
heir,[ZE],"n.继承人, 后嗣"
hemisphere,[5hemisfiE],n.半球
henceforth,[hens5fC:W],"adv.自此以后, 今后"
heritage,[5heritidV],"n.遗产, 继承权, 传统"
hierarchy,[5haiErB:ki],n.层次//层级
highlight,[5hailait],"n.加亮区, 精彩场面, 最显著(重要)部分//vt.加亮, 使显著, 以强光照射, 突出"
hinder,[5hindE],"adj.后面的//v.阻碍, 打扰"
hinge,[hindV],"n.（门、盖等的）铰链, 枢纽, 关键//vt.装铰链//v.装以绞链, 依...而转移"
historian,[his5tC:riEn],"n.历史学家, 史家"
historic,[his5tCrik],"adj.历史上著名的, 有历史性的"
hitherto,[7hiTE5tu:],"adv.迄今, 至今"
hoist,[hCist],"n.提升间, 升起"
homogeneous,[7hCmEu5dVi:njEs],"adj.同类的, 相似的, 均一的, 均匀的"
horrible,[5hCrEbl],"adj.可怕的, 恐怖的, 讨厌的"
hose,[hEuz],"n.软管, 水龙带, 长筒袜//v.用软管浇水"
hospitality,[7hCspi5tAliti],"n.好客, 宜人, 盛情"
hostage,[5hCstidV],"n.人质, 抵押品"
hover,[5hCvE],v.盘旋
hug,[hQg],n.拥抱
humanity,[hju(:)5mAniti],"n.人性, 人类, 博爱, 仁慈"
humidity,[hju:5miditi],"n.湿气, 潮湿, 湿度<美>沼泽中的肥沃高地"
hurl,[hE:l],"n.<俚>[棒球]用力或猛烈的投掷//vt.用力投掷, 愤慨地说出, 丢下, 推翻//vi.猛投, 猛掷"
hurricane,[5hQrikEn; -kin],"n.飓风, 狂风"
hypothesis,[hai5pCWisis],n.假设
hysterical,[his5terikEl],"a歇斯底里的, 异常兴奋的"
identification,[ai7dentifi5keiFEn],"n.辨认, 鉴定, 证明, 视为同一"
identity,[ai5dentiti],"n.同一性, 身份, 一致, 特性, 恒等式"
ideology,[7aidi5ClEdVi; id-],n.意识形态
idiom,[5idiEm],"n.成语, 方言, 土语, 习惯用语"
ignite,[ig5nait],"v.点火, 点燃"
ignorance,[5ignErEns],"n.无知, 不知"
illuminate,[i5lju:mineit],"vt.照明, 照亮, 阐明, 说明, 使灿烂, 以灯火装饰(街道等)//vi.照亮"
illusion,[i5lu:VEn; i5lju:-],n.幻想
imaginative,[i5mAdVinEtiv],"adj.想象的, 虚构的"
imitation,[imi5teiFEn],"n.模仿, 效法, 冒充, 赝品, 仿造物"
immerse,[i5mE:s],"vt.沉浸, 使陷入"
immune,[i5mju:n],adj.免疫的
impair,[im5pZE],v.削弱
impart,[im5pB:t],"vt.给予(尤指抽象事物), 传授, 告知, 透露"
imperative,[im5perEtiv],"n.命令, 诫命, 需要, 规则, 祈使语气//adj.命令的, 强制的, 紧急的, 必要的, 势在必行的, [语法]祈使的"
imperial,[im5piEriEl],adj.皇帝的
impetus,[5impitEs],"n.推动力, 促进"
implement,[5implimEnt],"n.工具, 器具//vt.贯彻, 实现//v.执行"
implicit,[im5plisit],"adj.暗示的, 盲从的, 含蓄的, 固有的, 不怀疑的, 绝对的"
impulse,[5impQls],"n.推动, 刺激, 冲动, 推动力//vt.推动"
inaugurate,[i5nC:gjureit],"vt.举行就职典礼, 创新, 开辟, 举行开幕(落成、成立)典礼."
incentive,[in5sentiv],n.动机//adj.激励的
incidence,[5insidEns],"n.落下的方式, 影响范围, [物理]入射"
incidentally,[insi5dentEli],"adv.附带地, 顺便提及"
inclusive,[in5klu:siv],"adj.包含的, 包括的"
incorporate,[in5kC:pEreit],"adj.合并的, 结社的, 一体化的//vt.合并, 使组成公司, 具体表现//vi.合并, 混合, 组成公司//vt.[律]结社, 使成为法人组织"
incredible,[in5kredEbl],adj.<口>难以置信的
incur,[in5kE:],v.招致
indefinite,[in5definit],"adj.模糊的, 不确定的, [语]不定的"
indicative,[in5dikEtiv],"adj.(～ of) 指示的, 预示的, 可表示的"
indignant,[in5dignEnt],"adj.愤怒的, 愤慨的"
indignation,[7indig5neiFEn],"n.愤慨, 义愤"
induce,[in5dju:s],"vt.劝诱, 促使, 导致, 引起, 感应"
indulge,[in5dQldV],v.纵容
inertia,[i5nE:FjE],"n.惯性, 惯量"
infectious,[in5fekFEs],"adj.有传染性的, 易传染的, 有感染力的"
inference,[5infErEns],n.推论
inflation,[in5fleiFEn],"n.胀大, 夸张, 通货膨胀, (物价)暴涨"
inflict,[in5flikt],v.造成
ingenious,[in5dVi:njEs],"adj.机灵的, 有独创性的, 精制的, 具有创造才能"
ingredient,[in5gri:diEnt],"n.成分, 因素"
inhabit,[in5hAbit],"vt.居住于, 存在于, 占据, 栖息"
inhibit,[in5hibit],"抑制, 约束, [化][医]抑制"
initiate,[i5niFieit],"vt.开始, 发动, 传授//v.开始, 发起"
initiative,[i5niFiEtiv],n.主动
inject,[in5dVekt],"vt.注射, 注入"
inland,[5inlEnd],"adj.内陆的, 国内的//adv.在内地, 向内地//n.内地"
inlet,[5inlet],"n.进口, 入口, 水湾, 小港, 插入物"
innovation,[7inEu5veiFEn],"n.改革, 创新"
innumerable,[i5nju:mErEbl],"adj.无数的, 数不清的"
insane,[in5sein],"adj.患精神病的, 精神病患者的, 极愚蠢的"
insight,[5insait],"n.洞察力, 见识"
inspiration,[7inspE5reiFEn],n.灵感
installment,[in5stC:lmEnt],n.部分
instantaneous,[7instEn5teinjEs],"adj.瞬间的, 即刻的, 即时的"
instrumental,[7instru5mentl],"adj.仪器的, 器械的, 乐器的"
insulate,[5insjuleit],"vt.使绝缘, 隔离"
intact,[in5tAkt],"adj.完整无缺的, 尚未被人碰过的, (女子)保持童贞的, (家畜)未经阉割的"
integral,[5intigrEl],"adj.完整的, 整体的, [数学] 积分的, 构成整体所需要的//n.[数学] 积分, 完整, 部分"
integrate,[5intigreit],"vt.使成整体, 使一体化, 求...的积分//v.结合"
integrity,[in5tegriti],"n.正直, 诚实, 完整, 完全, 完整性"
intellect,[5intilekt],n.智力
intelligible,[in5telidVEbl],adj.可理解的
intensify,[in5tensifai],vt.加强//vi.强化
intent,[in5tent],"n.意图, 目的, 意向, [律](犯罪或侵权行为的)故意//adj.专心的, 决心的, 热心的"
interact,[7intEr5Akt],"vi.互相作用, 互相影响"
interim,[5intErim],"adj.中间的, 临时的, 间歇的//n.中间时期, 过渡时期, 暂定"
intermittent,[7intE(:)5mitEnt],"adj.间歇的, 断断续续的"
intersection,[7intE(:)5sekFEn],"n.[数]交集, 十字路口, 交叉点"
intervene,[7intE5vi:n],"vi.干涉, 干预, 插入, 介入, (指时间)介于其间//v.干涉"
intimidate,[in5timideit],v.胁迫
intricate,[5intrikit],"adj.复杂的, 错综的, 难以理解的"
intrigue,[in5tri:g],"n.阴谋, 诡计//vi.密谋, 私通//vt.激起...的兴趣, 用诡计取得"
intrinsic,[in5trinsik],"adj.(指价值、性质)固有的, 内在的, 本质的"
intuition,[7intju(:)5iFEn],"n.直觉, 直觉的知识"
invalid,[in5vAlid],"n.病人, 残废者//adj.有病的, 残废的"
invaluable,[in5vAljuEbl],"adj.无价的, 价值无法衡量的"
invariably,[in5veEriEb(E)li],"adv.不变地, 总是//n.总是"
inventory,[5invEntri],"n.详细目录, 存货, 财产清册, 总量"
invert,[in5vE:t],"adj.转化的//vt.使颠倒, 使转化//n.颠倒的事物"
irony,[5aiErEni],"n.反话, 讽刺, 讽刺之事"
irrespective,[7iris5pektiv],"adj.不顾的, 不考虑的, 无关的"
irrigation,[7iri5geiFEn],"n.灌溉, 冲洗"
irritate,[5iriteit],"vt.激怒, 使急躁//v.刺激"
ivory,[5aivEri],n.象牙
jail,[dVeil],n.监狱//vt.监禁
jeopardize,[5dVepEdaiz],v.危害
jerk,[dVE:k],"n.性情古怪的人, 急推, 猛拉, 肌肉抽搐, (生理)反射, 牛肉干//vi.痉挛, 急拉, 颠簸地行进//vt.猛拉"
journalist,[5dVE:nElist],"n.新闻记者, 从事新闻杂志业的人"
junction,[5dVQNkFEn],"n.连接, 接合, 交叉点, 汇合处"
jury,[5dVuEri],"n.[律] 陪审团, 评判委员会, 陪审员//adj.[海]临时应急的"
justification,[dVQstifi5keiF(E)n],"n.认为有理, 认为正当, 理由, 辩护, 释罪"
kidney,[5kidni],"n.肾, (动物可食用的)腰子, 个性, 性格"
kit,[kit],"n.成套工具, 用具包, 工具箱, 成套用具"
knit,[nit],"v.编织, 密接, 结合"
knob,[nCb],"n.(门, 抽屉等的)球形捏手, 节, 瘤, 旋钮, 球形突出物, (煤, 砂糖等的)小块//vt.使有球形突出物//vi.鼓起"
lamb,[lAm],"n.小羊, 羔羊//v.生小羊"
lame,[leim],"adj.跛足的, 僵痛的, 不完全的, 金属薄片, 不知内情的人, (辩解、论据等)无说服力的//vi.变跛, 瘸行//vt.使成残废"
landscape,[5lAndskeip],"n.风景, 山水画, 地形, 前景//v.美化"
latent,[5leitEnt],"adj.潜在的, 潜伏的, 隐藏的//n.隐约的指印"
latitude,[5lAtitju:d],"n.纬度, 范围, (用复数)地区, 行动或言论的自由(范围)"
layman,[5leimEn],n.外行
leaflet,[5li:flit],"n.小叶, 传单"
lease,[li:s],"n.租借, 租约, 租赁物, 租期, 延续的一段时间//vt.出租, 租出, 租得"
legend,[5ledVEnd],"n.传说, 伟人传, 图例//联想集团，中国最大的国有品牌微机制造商之一"
legislation,[7ledVis5leiFEn],"n.立法, 法律的制定(或通过)卸蜓月鄣淖杂?范围) (家畜)未"
legitimate,[l i5dVitimit],"adj.合法的, 合理的, 正统的//v.合法"
liability,[7laiE5biliti],"n.责任, 义务, 倾向, 债务, 负债, 与assets相对"
lick,[lik],"n.舔, 少许, 打//vt.舔, 卷过, 鞭打, 克服, 征服//vi.轻轻拍打"
likelihood,[5laiklihud],"n.可能, 可能性"
limp,[limp],"adj.柔软的, 易曲的//vi.跛行"
linear,[5liniE],"adj.线的, 直线的, 线性的"
liner,[5lainE],"n.<美>班机, 划线者, 衬垫"
linger,[5liNgE],"v.逗留, 闲荡, 拖延, 游移"
literacy,[5litErEsi],n.有文化，有教养，有读写能力
literal,[5litErEl],"adj.文字的, 照字面上的, 无夸张的"
litter,[5litE],"n.垃圾，（供动物睡眠或防冻用的）干草、树叶, (一)窝, 轿, 担架//vt.乱丢, 铺草, 弄乱//vi.产仔, 乱丢垃圾"
lobby,[5lCbi],"n.大厅, 休息室, <美>游说议员者//vi.游说议员, 经常出入休息室//vt.对(议员)进行疏通"
locality,[lEu5kAliti],"n.位置, 地点"
locomotive,[7lEukE5mEutiv],"n.机车, 火车头//adj.运动的"
lofty,[5lC(:)fti],"adj.高高的, 崇高的, 高傲的, 高级的"
longitude,[5lCndVitju:d],"n.经度, 经线"
lounge,[laundV],"n.闲逛, 休闲室, 长沙发//vi.闲荡, 懒洋洋地躺卧//vt.虚度光阴"
lubricate,[5lu:brikeit],vt.润滑//v.加润滑油
luminous,[5lju:minEs],"adj.发光的, 明亮的"
lunar,[5lju:nE],"adj.月的, 月亮的"
magnify,[5mAgnifai],"vt.放大, 扩大, 赞美, 夸大, 夸张//vi.有放大能力"
magnitude,[5mAgnitju:d],"n.大小, 数量, 巨大, 广大, 量级"
majesty,[5mAdVisti],"n.最高权威, 王权, 雄伟"
mall,[mC:l],"n.购物商场, 商业街, 林荫路"
manifest,[5mAnifest],"n.载货单, 旅客名单//adj.显然的, 明白的//vi.出现//vt.表明, 证明"
manipulate,[mE5nipjuleit],"vt.(熟练地)操作, 使用(机器等), 操纵(人或市价、市场), 利用, 应付, 假造//vt.(熟练地)操作,巧妙地处理"
manoeuvre,[mE5nu:vE],"n.[亦作maneuvre] 策略, 调动//v.用策略, 调动, 演习, (敏捷地)操纵"
manuscript,[5mAnjuskript],"n.手稿, 原稿"
marble,[5mB:bl],"n.大理石, (玩具)弹球.石弹子, 雕刻品//adj.大理石的, 冷酷无情的, 坚硬的"
marginal,[5mB:dVinEl],"adj.记在页边的, 边缘的, 边际的"
marsh,[mB:F],"n.湿地, 沼泽, 沼泽地"
marshal,[5mB:FEl],"n.元帅, 典礼官, 执行官, 司仪官//vt.整顿, 配置, 汇集//vi.排列, 集合"
masculine,[5mB:skjulin],"adj.男性的, 男子气概的, [语法] 阳性的//n.男子, 男孩"
massive,[5mAsiv],"adj.厚重的, 大块的, 魁伟的, 结实的"
masterpiece,[5mB:stEpi:s],"n.杰作, 名著"
meadow,[5medEu],"n.草地, 牧场"
mechanism,[5mekEnizEm],"n.机械装置, 机构, 机制"
medal,[5medl],"n.奖章, 勋章, 纪念章//v.授予...奖章"
media,[5mi:djE],n.媒体
mediate,[5mi:diit; -djEt],"v.仲裁, 调停, 作为引起...的媒介, 居中调停"
medieval,[7medi5i:vEl],"adj.中世纪的, 仿中世纪的, 老式的, <贬>原始的"
Mediterranean,[7meditE5reinjEn],"n.地中海（=Mediterranean sea, 位于欧, 亚, 非三大洲之间）, 地中海沿岸的居民//adj.地中海的, 地中海民族的"
melody,[5melEdi],n.悦耳的音调
membership,[5membEFip],"n.成员资格, 成员人数"
menace,[5menEs],"n.威胁, 危险物//v.恐吓, 危及, 威胁"
merge,[mE:dV],"v.合并, 并入, 结合, 吞没, 融合"
mess,[mes],"n.混乱, 脏乱//v.弄乱"
messenger,[5mesindVE],"n.报信者, 使者"
metallic,[mi 5tAlik],adj.金属(性)的
metropolitan,[metrE5pClit(E)n],"adj.首都的, 主要都市的, 大城市"
midst,[5midst],n.中间//prep.在...中间
migrate,[mai5greit; 5maigreit],"vi.移动, 移往, 移植, 随季节而移居, (鸟类的)迁徙//vt.使移居, 使移植"
militant,[5militEnt],"adj.好战的, 积极从事或支持使用武力的"
mingle,[5miNgl],v.(使)混合
miniature,[5minjEtFE],"n.缩小的模型, 缩图, 缩影//adj.微型的, 缩小的"
minimal,[5minimEl],"adj.最小的, 最小限度的"
minimize,[5minimaiz],vt.将...减到最少//v.最小化
misery,[5mizEri],"n.痛苦, 苦恼, 悲惨, 不幸, 穷困"
