Albert Einstein,[5AlbEt 5ainstain],阿尔伯特·爱因斯坦
try,[trai],"n.尝试//v.试, 试图, 努力, 试验, 磨难, 考验, 审问"
turn,[tE:n],"n.转动, 旋转, 转变方向, 轮流, 时机, (一)回, 倾向, 癖性//v.(使)转动, 翻转, 扭转, (使)变质, 超过(年龄,数量等), 车(成) 铅笔芯"
type,[taip],"n.类型, 典型, 模范, [印刷]活字, 铅字//v.打字, 测定(血等)类型"
ugly,[5Qgli],"adj.丑陋的, 难看的"
union,[5ju:njEn],"n.联合, 合并, 结合, 联盟, 协会"
unite,[ju(:)5nait],"v.联合, 团结"
united,[ju5naitid],"adj.联合的, 团结的, 一致的"
university,[7ju:ni5vE:siti],n.(综合)大学
upwards,[5QpwEdz],"adv.以上, 向上"
useful,[5ju:sful],"adj.有用的, 有益的, 有帮手的"
vapour,[5veipE],"n.蒸汽, 水蒸气"
villager,[],n.村民
vinegar,[5vinigE],n.醋
wait in line,[],排队等候
warn,[wC:n],"vt.警告, 注意, 通知//vi.发出警告, 发出预告"
waste,[weist],"n.废物, 浪费, 损耗, 消耗, 地面风化物, 垃圾, 荒地//adj.废弃的, 荒芜的, 多余的//vt.浪费, 消耗, 使荒芜//vi.被浪费, 挥霍钱财, 变消瘦, 被损耗"
water-skiing,[5wC:tE 5ski:iN],n.滑水运动
whenever,[(h)wen5evE],"conj.无论何时, 随时//n.只要"
whether...or...,[],或者…或者…
wide,[waid],"adj.宽的, 广阔的, 张大的, 远离目标的//adv.广阔地, 广大地, 远离目标地"
widely,[5waidli],"adv.广泛地, 普遍地, 广博地, 相差大地"
wild,[waild],"adj.野性的, 野生的, 野蛮的, 狂热的, 疯狂的"
wildly,[],"adv.野生地, 野蛮地"
wise,[waiz],"adj.英明的, 明智的, 慎虑的, 聪明的, 博学的, 明白的, 贤明的, 狡猾的//vi.知道//vt.告诉, 劝导//n.方法, 方式"
within,[wiT5in],"n.内部, 里头//adv.在内部, 在内心里//prep.在...之内, 不越出//adj.里面的, 内部的"
wonder,[5wQndE],"n.奇迹, 惊奇, 惊愕//vt.对...感到惊讶, 惊奇, 想知道//vi.惊讶, 怀疑//adj.非凡的, 奇妙的"
wood,[wud],"n.木头, 木材, 树木"
