abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
disaffection,[7disE5fekFEn],n.不满
disallow,[5disE5lau; dis-],v.不接受
disappointed,[7disE`pCintid],adj.失望的
disappointed at,[],对...失望
disarm,[dis5B:m; diz-],"vt.解除武装, 回复平常的编制, 缓和, 消除(敌意,疑虑)//vi.放下武器"
disarming,[dis5B:miN],"adj.使消除的, 使解除警戒心的"
disarrange,[7disE5reindV],v.打乱
disarray,[7disE5rei],v.混乱
disaster,[di5zB:stE],"n.灾难, 天灾, 灾祸"
disastrous,[di5zB:strEs],"adj.损失惨重的, 悲伤的"
disavow,[5disE5vau],"vt.不承认, 否认, 否定, 抵赖"
disband,[dis5bAnd],"v.解散, 裁减"
disburse,[dis5bE:s],v.支付
discard,[dis5kB:d],"vt.丢弃, 抛弃//v.放弃"
discern,[di5sE:n],"v.目睹, 认识, 洞悉, 辨别, 看清楚"
discerning,[di5sE:niN],adj.有辨识能力的
discharge,[dis5tFB:dV],"vt.卸下, 放出, 清偿(债务), 履行(义务), 解雇, 开(炮), 放(枪), 射(箭)//vi.卸货, 流注//n.卸货, 流出, 放电"
disciple,[di5saipl],"n.信徒, 弟子, 门徒"
disciplinarian,[7disipli5nZEriEn],"adj.训练的, 规律的, 训育的//n.训练者, 规律, 厉行纪律的人"
disclaim,[dis5kleim],"v.放弃, 弃权, 拒绝"
discomfit,[dis5kQmfit],v.扰乱
discompose,[7diskEm5pEuz],v.不安
discomposure,[],"n.心乱, 狼狈, 不安"
disconcert,[7diskEn5sE:t],"vt.使惊惶, 使仓皇失措, 破坏"
discord,[5diskC:d],"n.不一致, 意见不合, 嘈杂声, [音乐] 不和谐//v.不和"
discount,[5diskaunt],n.折扣
discourse,[dis5kC:s; 5diskC:s],"n.演讲, 论述, 论文, 讲道, 谈话, 谈论//vi.谈论, 演说"
discreet,[dis5kri:t],"adj.小心的, 慎重的, 有思虑的, 贤明的"
discrete,[dis5kri:t],"adj.不连续的, 离散的"
discretion,[dis5kreFEn],n.判断力
discrimination,[dis7krimi5neiFEn],"n.辨别, 区别, 识别力, 辨别力, 歧视"
disdain,[dis5dein],"n.轻蔑, 以高傲的态度对待//vt.蔑视, 鄙弃"
disfigure,[dis5figE],"v.损伤外貌, 使变丑"
disgust,[dis5gQst],"n.厌恶, 嫌恶//vi.令人厌恶, 令人反感//vt.使作呕"
disinterested,[dis5intristid],adj.无私的
dislike for,[],不喜欢...
dismal,[5dizmEl],"adj.阴沉的, 凄凉的, 暗的//vt.使人消沉//n.低落的情绪, 沼泽"
dismay,[dis5mei],"n.沮丧, 惊慌//v.使沮丧, 使惊慌"
disown,[dis5Eun],vt.否认
disparage,[dis5pAridV],"vt.蔑视, 贬损, 使失去信誉"
dispatch,[dis5pAtF],"vt.分派, 派遣//n.派遣, 急件"
dispensable,[dis5pensEbl],"adj.不是必要的, 可有可无的"
displace,[dis5pleis],"vt.移置, 转移, 取代, 置换//v.转移"
dispose,[dis5pEuz],"v.处理, 处置, 部署//vt.布置, 安排, 除去, 使愿意"
disposition,[dispE5ziFEn],n.部署
disprove,[dis5pru:v],"v.反驳, 驳斥, 证明...为误"
disqualify,[dis5kwClifai],vt.使丧失资格
disreputable,[dis5repjutEbl],"adj.声名狼藉的, 破烂不堪的"
disrespectful,[7disris5pektful],"adj.失礼的, 无礼的"
disrobe,[5dis5rEub],"vt.使脱光, 脱去衣服//vi.脱衣服, 光着身"
disrupt,[dis5rQpt],"v.使中断, 使分裂, 使瓦解, 使陷于混乱, 破坏"
dissect,[di5sekt],"v.把...解剖(动植物等), 切开仔细研究, 把...切成碎片"
dissemble,[di5sembl],"v.掩饰, 假装不知道"
disseminate,[di5semineit],v.散布
dissension,[di5senFEn],"n.意见不同, 纠纷, 争执"
dissimilar,[di5similE],"adj.不同的, 相异的"
dissimulate,[di5simjuleit],"v.掩饰, 假装, 装糊涂"
dissipate,[5disipeit],"v.驱散, (使)(云、雾、疑虑等)消散, 浪费(金钱或时间)"
dissonance,[5disEnEns],"n.不一致, 不调和, 不谐和音"
dissuade,[di5sweid],vt.劝阻
distant,[5distEnt],"adj.远的, 关系远的(亲戚), 疏远的, 间隔的, 冷漠的"
distillation,[7disti5leiFEn],"n.蒸馏, 蒸馏法, 蒸馏物, 精华, 精髓"
distort,[dis5tC:t],"vt.弄歪(嘴脸等), 扭曲, 歪曲(真理、事实等), 误报"
distract,[dis5trAkt],v.转移
distraught,[dis5trC:t],adj.发狂的
distressed,[di5strest],adj.哀伤的
distribute,[dis5tribju(:)t],"vt.分发, 分配, 散布, 分布, 分类, 分区//v.分发"
disunite,[5disju:5nait],"vt.不和, 使分离//vi.变得分离"
diverge,[dai5vE:dV],"vi.(道路等)分叉, (意见等)分歧, 脱离"
divergent,[dai5vE:dVEnt],adj.分歧的
diverse,[dai5vE:s],"adj.不同的, 变化多的"
diversify,[dai5vE:sifai],"v.使多样化, 作多样性的投资"
divide,[di5vaid],"v.分, 划分, 分开, 隔开"
divulge,[dai5vQldV],"vt.泄露, 暴露"
docile,[5dEusail],"adj.听话的, 容易教的, 驯良的, 温顺的"
doctrine,[5dCktrin],"n.教条, 学说"
dodge,[dCdV],"v.避开, 躲避//n.<俗> 诡计, 躲藏"
dogma,[5dCgmE],n.教条
dogmatic,[dCg5mAtik],"adj.教条的, 独断的"
dole,[dEul],"n.施舍品, 悲哀, 失业救济金//vt.发放救济"
doleful,[5dEulful],"adj.悲哀的, 阴沉的, 寂寞的"
dolorous,[5dClErEs; (?@) 5dEulErEs],"adj.忧伤的, 悲痛的"
dolphin,[5dClfin],n.海豚
domestic,[dE5mestik],"adj.家庭的, 国内的, 与人共处的, 驯服的"
dominant,[5dCminEnt],"adj.有统治权的, 占优势的, 支配的//adj.[生物] 显性的"
dominate,[5dCmineit],"v.支配, 占优势"
domineering,[7dCmi`niEriN],"adj.极权的, 作威作福的"
dominion,[dE5minjEn],"n.主权, 领土, 统治权, 支配, 控制"
donate,[dEu5neit],"v.捐赠, 赠予"
donor,[5dEunE],n.捐赠人//n.[化] 原料物质
doomed,[],命定的
dormant,[5dC:mEnt],"adj.睡眠状态的, 静止的, 隐匿的"
dormitory,[5dC:mitri],n.宿舍
dorsal,[5dC:sEl],"adj.背的, 脊的"
double,[5dQbl],"n.两倍, [计] 双精度型//adj.两倍的, 双重的//vt.使加倍//vi.加倍, 快步走, 加倍努力"
doubt,[daut],"n.怀疑, 疑惑, 疑问//v.怀疑, 不信, 拿不准, <古>恐怕"
doubtful,[5dautful],"adj.可疑的, 不确的, 疑心的"
downcast,[5daunkB:st],"adj.气馁的, 悲哀的, 沮丧的, (眼睛)向下看的"
downhearted,[daun5hB:tid],"adj.垂头丧气的, 闷闷不乐的, 无精打采的"
doze,[dEuz],"vi.瞌睡, 假寐//vt.打瞌睡度过//n.瞌睡"
drag,[drAg],"v.拖, 拖曳, 缓慢而费力地行动//n.拖拉"
dragonfly,[5drAgEnflai],n.蜻蜓
drastic,[5drAstik],"adj.激烈的, (药性等)猛烈的"
drawback,[5drC:7bAk],"n.缺点, 障碍, 退还的关税, 退税(指进口货物再出口时退还其进口时的关税)听"
dread,[dred],"n.恐惧, 恐怖, 可怕的人(或物), 畏惧//v.惧怕, 担心"
drizzle,[5drizl],n.细雨//v.下毛毛雨
drought,[draut],"n.干旱, 缺乏"
drowsy,[5drauzi],"adj.昏昏欲睡的, 催眠的, (街、市等)沉寂的"
drub,[drQb],v.打击
dual,[5dju(:)El],"adj.双的, 二重的, 双重"
dubious,[5dju:bjEs],"adj.可疑的, 不确定的"
ductile,[5dQktail],"adj.易延展的, 易教导的, 柔软的"
due,[dju:],"n.应得物、权力, [复]应付款//adj.应得的, 应付的, 正当的, 预期的, (车、船预定)应到的"
dullard,[5dQlEd],"n.愚人, 笨蛋"
dumb,[dQm],"adj.哑的, 无说话能力的, 不说话的, 无声音的"
dummy,[5dQmi],"n.哑巴, 傀儡, 假人, 假货//adj.虚拟的, 假的, 虚构的//n.[计] 哑元"
dunce,[dQns],"n.劣学生, 傻瓜"
dune,[dju:n],n.(由风吹积而成的)沙丘
dungeon,[5dQndVEn],n.地牢
durable,[5djuErEbl],"adj.持久的, 耐用的"
dusky,[5dQski],"adj.微暗的, 朦胧的,忧郁的"
dwelling,[5dweliN],n.住处
dwindle,[5dwindl],v.缩小
dye,[dai],"n.染料, 染色//vt.染//v.染"
eager,[5i:gE],"adj.热心于, 渴望着"
eagle,[5i:gl],"n.鹰, 鹰状标饰"
early,[5E:li],"adj.早的, 早熟的, 及早的, 早先的, 早期的//adv.早, 在初期"
easy,[5i:zi],"adj.容易的, 安逸的, 舒适的, 宽裕的, 小康的, 从容的, 宽容的, 流畅的//adv.不费力的, 轻松, 悠闲, 慢慢地//n.短暂的休息"
ebb,[eb],"n.退, 弱, 退潮, 衰落//vi.潮退, 衰退"
eccentric,[ik5sentrik],adj.古怪//n.行为古怪的人
eclat,[],"n.显赫之成功, 荣誉"
economic,[7i:kE5nCmik],"adj.经济(上)的, 产供销的, 经济学的"
economical,[7i:kE5nCmikEl],"adj.节约的, 经济的"
economics,[7i:kE5nCmiks; 7ekE-],n.经济学
economize,[i(:)5kCnEmaiz],"v.节约, 节省, 有效地利用"
ecstasy,[5ekstEsi],n.入迷
edge,[edV],"n.刀口, 利刃, 锋, 优势, 边缘, 优势, 尖锐//vt.使锋利, 挤进, 镶边, 开刃//vi.缓缓移动, 侧着移动"
edible,[5edibl],adj.可食用的
edify,[5edifai],v.启发
editor-in-chief,[],总编辑
educe,[i(:)5dju:s],"vt.得出, 导出, 引出, 唤起, 使显出"
efface,[i5feis],v.抹掉
effect,[i5fekt],"n.结果, 效果, 作用, 影响, (在视听方面给人流下的)印象//vt.招致, 实现, 达到(目的等)轻松, 悠闲, 慢慢地//n.短暂的休息"
effective,[i5fektiv],"adj.有效的, 被实施的, 给人深刻印象, 有生力量"
effectuate,[i5fektjueit],"vt.实行, 完成"
effervesce,[7efE5ves],"vi.冒泡, [化]泡腾, 兴奋"
efficacy,[5efikEsi],"n.功效, 效验"
efficient,[i5fiFEnt],"adj.(直接)生效的, 有效率的, 能干的"
effigy,[5efidVi],"n.(被憎恨或蔑视的人的)肖像, 雕像"
effloresce,[7eflC:5res],"vi.开花, 风化"
effrontery,[e5frQntEri],"n.厚颜无耻, 厚颜无耻的行为"
effuse,[i5fju:z],"v.涌出, 流出, 泻出"
eggplant,[5egplB:nt],n.茄子
egoism,[5i:gEuiz(E)m],"n.自我主义, 利己主义"
egoist,[`i:gEuist;`eg-],n.自我主义者
egotism,[5i:gEtiz(E)m],"n.自我中心, 自尊自大"
egress,[5i:gres],"n.出口, 外出//vi.外出"
eject,[i5dVekt],"vt.逐出, 撵出, 驱逐, 喷射//n.推断的事物"
elaborate,[i5lAbErEt],"adj.精心制作的, 详细阐述的, 精细//vt.精心制作, 详细阐述//v.详细描述"
elapse,[i5lAps],"vi.(时间)过去, 消逝//v.流逝"
elasticity,[ilAs5tisiti],"n.弹力, 弹性"
elation,[i5leiF(E)n],"n.得意洋洋, 兴高采烈"
election,[i5lekF(E)n],"n.选举, 当选, 选择权, [宗]上帝的选拔"
elegant,[5eligEnt],"adj.文雅的, 端庄的, 雅致的, <口>上品的, 第一流的"
element,[5elimEnt],"n.要素, 元素, 成分, 元件, 自然环境"
elementary,[7eli5mentEri],"adj.初步的, 基本的, [化]元素的, 自然力的"
elephant,[5elifEnt],"n.象, 一种纸张的尺寸"
elevate,[5eliveit],"vt.举起, 提拔, 振奋, 提升...的职位"
elite,[ei5li:t],"n.<法>[集合名词]精华, 精锐, 中坚分子"
elm,[elm],n.[植]榆树
eloquence,[5elEkwEns],"n.雄辩, 口才, 修辞"
eloquent,[5elEkwEnt],"adj.雄辩的, 有口才的, 动人的, 意味深长的"
elucidate,[i5lju:sideit],"vt.阐明, 说明"
elude,[i5lju:d; i5lu:d],v.躲避
elusive,[i5lju:siv],"adj.难懂的, 难捉摸的, 易忘的"
emaciate,[i5meiFieit],"vt.使憔悴, 使消瘦//vi.消瘦"
emaciated,[i5meiFieitid],"adj.瘦弱的, 衰弱的"
embalm,[im5bB:m],"vt.涂香油于(尸体), 施以防腐剂, 铭记于心, 使不朽"
embarrass,[im5bArEs],"vt.使困窘, 使局促不安, 阻碍, 麻烦"
embellish,[im5beliF],v.修饰
embezzle,[im5bezl],"vt.盗用, 挪用"
embitter,[im5bitE],"vt.加苦味于, 使受苦, 使难受, 使怨恨, 加重"
embody,[im5bCdi],"vt.具体表达, 使具体化, 包含, 收录"
embosom,[im5buzEm],"vt.把...藏于胸中, 围绕, 环绕, 珍爱"
embrace,[im5breis],"vt.拥抱, 互相拥抱, 包含, 收买, 信奉//vi.拥抱//n.拥抱"
embroider,[im5brCidE],"vt.刺绣, 镶边, 装饰, 给...添油加醋//vi.绣花"
emend,[i(:)5mend],"vt.修订, 校勘"
emerge,[i5mE:dV],"vi.显现, 浮现, 暴露, 形成, (由某种状态)脱出, (事实)显现出来"
emigrate,[5emigreit],vi.永久(使)移居//vt.(使)移民
eminent,[5eminEnt],"adj.显赫的, 杰出的, 有名的, 优良的"
emissary,[5emisEri],n.使者
emolument,[i5mCljumEnt],"n.薪水, 报酬"
emphasize,[5emfEsaiz],"vt.强调, 着重//v.强调"
emphatic,[im5fAtik],"adj.语势强的, 用力的, 显著的, 断然的"
empire,[5empaiE],"n.帝国, 帝权"
employee,[7emplCi5i:; im5plCii],"n.职工, 雇员, 店员"
employer,[im5plCiE],"n.雇主, 老板"
employment,[im5plCimEnt],"n.雇用, 使用, 利用, 工作, 职业"
empower,[im5pauE],"v.授权与, 使能够"
empty,[5empti],"adj.空的, 空洞的, 空虚的//vt.使成为空的, 倒空//v.倒空//adj.空的,空闲的//v.腾空, 腾出来"
emulate,[5emjuleit],n.仿效
enable,[i5neibl],"vt.使能够, 授予权利或方法"
enact,[i5nAkt],"vt.制定法律, 颁布, 扮演"
enchant,[in5tFB:nt],"vt.施魔法, 使迷惑"
encompass,[in5kQmpEs],"v.包围, 环绕, 包含或包括某事物"
encourage,[in5kQridV],"vt.鼓励, 怂恿//v.鼓励, 鼓励"
encouraged,[],被鼓励的
encroach,[in5krEutF],"vi.(逐步或暗中)侵占, 蚕食, 超出通常(或正常)界线"
encumber,[in5kQmbE],v.阻碍
endanger,[in5deindVE],vt.危及
endeavor,[in5devE],"n.努力, 尽力//vi.尽力, 努力"
endless,[5endlis],"adj.无止境的, 无穷的"
endorse,[in5dC:s],"v.在(票据)背面签名, 签注(文件), 认可, 签署"
endue,[in5dju:],"vt.穿上, 授予, 赋予"
endure,[in5djuE],"v.耐久, 忍耐"
energetic,[7enE5dVetik],"adj.精力充沛的, 积极的"
energize,[5enEdVaiz],"vt.使活跃, 给予精力, 加强, 给与...电压//vi.用力, 活动"
enervate,[5enE:veit],v.削弱
engender,[in5dVendE],v.造成
engineer,[7endVi5niE],"n.工程师, 技师, 火车司机, 轮机员, 工兵"
engross,[in5grEus],"vt.用大字体书写, 吸引, 占用, 使全神贯注, 独占"
engrossed,[in`grEust],全神贯注的
engulf,[in5gQlf],"vt.卷入, 吞没, 狼吞虎咽"
enhance,[in5hB:ns],"vt.提高, 增强//v.提高"
enigma,[i5nigmE],"n.谜, 不可思议的东西"
enigmatic,[7enig5mAtik; 7i:nig-],"adj.谜一般的, 高深莫测的"
enjoy,[in5dVCi],"vt.享受...的乐趣, 欣赏, 喜爱//v.满意"
enlighten,[in5laitn],"vt.启发, 启蒙, 教导, 授予...知识, 开导, <古>照耀"
enlist,[in5list],"v.征募, 谋取(支持、赞助等), 应募, 赞助, 支持, 征召, 参军"
enmity,[5enmiti],"n.敌意, 憎恨"
ennui,[5Cnwi:],"n.倦怠, 厌倦"
enormity,[i5nC:miti],"n.暴行, 巨大, 极恶"
enormous,[i5nC:mEs],"adj.巨大的, 庞大的, <古>极恶的, 凶暴的"
enough,[i5nQf],"adj.足够的, 充足的, 只够做...的//n.充足, 足够, 很多//adv.足够地, 充分地//int.够了!"
enrage,[in5reidV],vt.激怒
enrapture,[in5rAptFE],vt.使狂喜
enrich,[in5ritF],"vt.使富足, 使肥沃, 装饰, 加料于, 浓缩"
enslave,[in5sleiv],"v.奴役, 沉溺, 束缚"
entail,[in5teil],"vt.使必需, 使蒙受, 使承担, 遗传给//n.[建]限定继承权"
entangle,[in5tANgl],"vt.使缠上, 纠缠, 卷入, 连累, 使混乱"
enterprise,[5entEpraiz],"n.企业, 事业, 计划, 事业心, 进取心, 干事业"
entertain,[7entE5tein],"vt.娱乐, 招待, 接受, 怀抱//vi.款待"
enthrall,[in5WrC:l],"vt.迷惑, 迷住, 奴役"
enthusiasm,[in5Wju:ziAzEm],"n.狂热, 热心, 积极性, 激发热情的事物"
entice,[in5tais],"v.诱惑, 诱使"
entitle,[in5taitl],"vt.给...权利(或资格), 给...题名, 给...称号//v.授权, 授权"
entitled,[in5taitld],有资格的
entity,[5entiti],n.实体
entrance,[in5trB:ns],"n.入口, 门口, 进入"
entrap,[in5trAp],v.诱陷
entrepreneur,[7CntrEprE5nE:],"n.<法>企业家, 主办人"
entry,[5entri],"n.登录, 条目, 进入, 入口, [商]报关手续, [律]对土地的侵占, 对房屋的侵入"
enumerate,[i5nju:mEreit],v.列举
enunciate,[i5nQnsieit; -Fi-],"v.阐明, 清晰发言"
envelop,[in5velEp],"vt.包封, 遮盖, 包围//n.包裹, 封, 包围, 信封"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
environs,[5envirEnz; in5vaiErEnz],"n.市郊, 郊外"
envoy,[5envCi],"n.外交使节, 特使"
episode,[5episEud],"n.一段情节, [音]插曲, 插话, 有趣的事件"
epoch,[5i:pCk; 5epCk],"n.新纪元, 时代, 时期, 时间上的一点, [地质]世"
equal,[5i:kwEl],"adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的//n.相等的事物(或数量), 对手, 匹敌, 同辈//vt.等于, 比得上"
equate,[i5kweit],"vt.使相等, [数]视为平等//vi.等同"
equation,[i5kweiFEn],"n.相等, 平衡, 综合体, 因素, 方程式, 等式"
equator,[i5kweitE],"n.赤道, 赤道似的圈.圆"
equilibrium,[7i:kwi5libriEm],"n.平衡, 平静, 均衡, 保持平衡的能力, 沉着, 安静"
equipment,[i5kwipmEnt],"n.装备, 设备, 器材, 装置, 铁道车辆, (一企业除房地产以外的)固定资产, 才能"
equitable,[5ekwitEbl],"adj.公平的, 公正的, 平衡法的"
equitably,[],adv.公正地
equivalent,[i5kwivElEnt],"adj.相等的, 相当的, 同意义的//n.等价物, 相等物"
equivocate,[i5kwivEkeit],"vi.说模棱两可的话, 支吾"
erase,[i5reiz],"vt.抹去, 擦掉, 消磁, <俚>杀死"
erect,[i5rekt],"adj.直立的, 竖立的, 笔直的//vt.盖, 使竖立, 使直立, 树立, 建立//vi.[生理]勃起"
erection,[i5rekFEn],"n.直立, 竖起, 建筑物, [生理]勃起"
erode,[i5rEud],"vt.侵蚀, 腐蚀, 使变化//vi.受腐蚀, 逐渐消蚀掉"
erosion,[i5rEuVEn],"n.腐蚀, 侵蚀"
err,[E:],"vi.犯错, 做错, 犯罪, [废]走上歧途"
erratic,[i5rAtik],"adj.无确定路线, 不稳定的, 奇怪的//n.古怪的人, 漂泊无定的人"
erroneous,[i5rEunjEs],"adj.错误的, 不正确的"
erudite,[5eru:dait],adj.博学的
erupt,[i5rQpt],vt.喷出//vi.爆发
escape,[is5keip],"n.逃, 逃亡, 溢出设备, 出口, 逃跑, [植]野生//vi.逃脱, 避开, 溜走//vt.逃避, 避免, 被忘掉"
eschew,[is5tFu:],"vt.避开, 远避"
escort,[is5kC:t],"n.护卫(队), 护送, 陪同(人员), 护卫队//v.护卫, 护送, 陪同"
essential,[i5senFEl],"adj.本质的, 实质的, 基本的, 提炼的, 精华的//n.本质, 实质, 要素, 要点"
esteem,[is5ti:m],"vt.把...看作, 尊敬, 尊重, 认为//n.尊敬, 尊重"
estimable,[5estimEbl],"adj.可尊敬的, 可估计的, <古>可贵的, 有价值的"
estimate,[5estimeit],"v.估计, 估价, 评估//n.估计, 估价, 评估"
eternal,[i(:)5tE:nl],"adj.永恒的, 永远的, 不灭的, 没完没了的"
ethics,[5eWiks],"n.偶尔, 道德规范"
ethnic,[5eWnik],"adj.人种的, 种族的, 异教徒的"
etiquette,[eti5ket; 5etiket],n.礼节
eulogy,[5ju:lEdVi],"n.赞词, 颂词, 歌功颂德的话"
euphony,[5ju:fEni],n.悦耳之音
evacuate,[i5vAkjueit],"v.疏散, 撤出, 排泄"
evade,[i5veid],"v.规避, 逃避, 躲避"
evaluate,[i5vAljueit],"vt.评价, 估计, 求...的值//v.评价"
evaporate,[i5vApEreit],"v.(使)蒸发, 消失"
evasion,[i5veiVEn],"n.逃避, 借口"
evasive,[i5veisiv],"adj.逃避的, 推托的"
even,[5i:vEn],"adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的//adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当//vt.使平坦, 使相等//vi.变平, 相等//n.偶数, 偶校验"
even number,[],偶数
eventual,[i5ventjuEl],"adj.<古>可能的, 最后的, 结局的, 万一的, 终于的"
evergreen,[5evEgri:n],"adj.常绿的//n.常绿树, 常绿植物"
everything,[5evriWiN],"pron.每件事物, 万事"
evidence,[5evidEns],"n.明显, 显著, 明白, 迹象, 根据, [物]证据, 证物"
evident,[5evidEnt],"adj.明显的, 显然的"
evince,[i5vins],"vt.表明, 表示"
evoke,[i5vEuk],"vt.唤起, 引起, 博得"
evolutionary,[7i:vE`lu:FEnEri],进化的
evolve,[i5vClv],"v.(使)发展, (使)进展, (使)进化"
exact in,[],对...很严谨
exacting,[ig5zAktiN],"adj.苛求的, 严格的, 吃力的, 需付出极大耐心"
exaggerate,[ig5zAdVEreit],"v.夸大, 夸张"
exalt,[ig5zC:lt; eg-],v.晋升
exalted,[ig5zC:ltid],"adj.尊贵的, 高位的, 兴奋的, 高尚的"
exasperate,[ig5zB:spEreit],v.激怒
excavate,[5ekskEveit],"v.挖掘, 开凿, 挖出, 挖空"
excellent,[5eksElEnt],"adj.卓越的, 极好的"
exception,[ik5sepFEn],"n.除外, 例外, 反对, 异议"
exceptional,[ik5sepFEnl],"adj.例外的, 异常的"
excerpt,[5eksE:pt],"n.vt.摘录, 引用"
excess,[ik5ses; 5ekses],"n.过度, 剩于, 无节制, 超过, 超额//adj.过度的, 额外的"
excessive,[ik5sesiv],"adj.过多的, 过分的, 额外"
exchange,[iks5tFeindV],"vt.交换, 调换, 兑换, 交流, 交易//n.交换, 调换, 兑换, 交流, 交易"
excitable,[ik5saitEbl],"adj.能被激动的, 易兴奋的, 易激动的, 过敏的"
excited,[ik5saitid],兴奋的
excitement,[ik5saitmEnt],"n.刺激, 兴奋, 激动, 搔动"
exclaim,[iks5kleim],"v.呼喊, 惊叫, 大声叫"
exclude,[iks5klu:d],"vt.拒绝接纳, 把...排除在外, 排斥"
exclusion,[iks5klu:VEn],"n.排除, 除外, 被排除在外的事物"
exclusive,[iks5klu:siv],"adj.排外的, 孤高的, 唯我独尊的, 独占的, 唯一的, 高级的"
exculpate,[5ekskQlpeit],v.开脱
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
exemplary,[ig5zemplEri],"adj.可仿效的, 可做模范的, 警戒性的, 惩戒性的"
exemplify,[ig5zemplifai],"vt.例证, 例示, 作为...例子"
exempt,[ig5zempt],v.免除//adj.被免除的
exertion,[ig5zE:FEn],"n.尽力, 努力, 发挥, 行使, 运用"
exhale,[eks5heil; eg5zeil],"v.呼气, 发出, 发散, <古>使蒸发"
exhaust,[ig5zC:st],"vt.用尽, 耗尽, 抽完, 使精疲力尽//vi.排气//n.排气, 排气装置//adj.用不完的, 不会枯竭的"
exhaustive,[ig5zC:stiv],"adj.无遗漏的, 彻底的, 详尽的, 无遗的"
exhibit,[ig5zibit],"vt.展出, 陈列//n.展览品, 陈列品, 展品//v.展示"
exhume,[eks5hju:m],"vt.掘出, 发掘"
exile,[5eksail; 5egz-],"n.放逐, 充军, 流放, 流犯, 被放逐者//vt.放逐, 流放, 使背井离乡"
exist,[ig5zist],"vi.存在, 生存, 生活, 继续存在"
exit,[5eksit; -zit],"n.出口, 太平门, 退场, 去世//vi.退出, 脱离, 去世//[计]  离开当前命令行外壳"
exodus,[5eksEdEs],"n.大批的离去, [the  E-](古代以色列人)出埃及"
exorbitant,[ig5zC:bitEnt],"adj.过度的, 过高的, 昂贵的"
exotic,[ig5zCtik],"adj.异国情调的, 外来的, 奇异的"
expand,[iks5pAnd],"vt.使膨胀, 详述, 扩张//vi.张开, 发展"
expanse,[iks5pAns],"n.宽阔的区域, 宽阔, 苍天, 膨胀扩张"
expansive,[iks5pAnsiv],"adj.易膨胀的, 易扩张的, 广阔的, 豪爽的, 豪华的"
expect,[iks5pekt],"vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为"
expedient,[iks5pi:diEnt],adj.有利的//n.权宜之计
expedite,[5ekspidait],"v.加速, 派出//adj.畅通的, 迅速的"
expedition,[7ekspi5diFEn],"n.远征, 探险队, 迅速, 派遣"
expeditious,[ekspi5diFEs],"adj.迅速的, 敏捷的"
expensive,[iks5pensiv],"adj.花费的, 昂贵的"
experienced,[ik5spiEriEnst],v.经历//adj.富有经验的
expert in,[],熟练于...
expertise,[7ekspE5ti:z],"n.专家的意见, 专门技术"
expire,[iks5paiE; eks-],"v.期满, 终止, 呼气, 断气, 届满"
explain,[iks5plein],"v.解释, 说明"
explicit,[iks5plisit],"adj.外在的, 清楚的, 直率的, (租金等)直接付款的"
explode,[iks5plEud],"vt.使爆炸//vi.爆炸, 爆发, 破除, 推翻, 激发"
exploit,[iks5plCit],"vt.开拓, 开发, 开采, 剥削, 用以自肥//v.使用"
explore,[iks5plC:],"v.探险, 探测, 探究"
explosive,[iks5plEusiv],"adj.爆炸(性)的, 爆发(性)的, 暴露//n.爆炸物, 炸药"
exponent,[eks5pEunEnt],"n.解释者, 说明者, 代表者, 典型, 指数"
exposure,[iks5pEuVE],"n.暴露, 揭露, 暴光, 揭发, 揭露, 位向, 方向, 陈列"
exquisite,[5ekskwizit],"adj.优美的, 高雅的, 精致的, 剧烈的, 异常的, 细腻的, 敏锐的"
extant,[eks5tAnt],"adj.现存的, 未毁的, <古>突出的, 显著的"
extemporaneous,[eks7tempE5reinjEs],"adj.无准备的, 即席的, 不用讲稿的, 善于即席讲话的, 临时的"
extension,[iks5tenFEn],"n.延长, 扩充, 范围//n.扩展名//adj.[逻]外延的, 客观现实的"
extensive,[iks5tensiv],"adj.广大的, 广阔的, 广泛的"
extenuate,[iks5tenjueit],"vt.掩饰, 减轻, 使人原谅, 低估, <古>使稀薄"
exterminate,[iks5tE:mineit],v.消除
external,[eks5tE:nl],"adj.外部的, 客观的, [医]外用的, 外国的, 表面的//n.外部, 外面"
external angle,[],外角
extinct,[iks5tiNkt],"adj.熄灭的, 灭绝的, 耗尽的//vt.<古>使熄灭"
extinction,[iks5tiNkFEn],"n.消失, 消灭, 废止, [物]消光"
extinguish,[iks5tiNgwiF],"vt.熄灭, 消灭, 压制, 使黯然失色, 偿清"
extol,[iks5tCl],v.赞美
extort,[iks5tC:t],"v.敲诈, 逼取, 强取, 勒索"
extraneous,[eks5treinjEs],"adj.无关系的, 外来的, [化]外部裂化, [化]新异反射"
extravagant,[iks5trAvEgEnt],"adj.奢侈的, 浪费的, 过分的, 放纵的"
extricate,[5ekstrikeit],"vt.使解脱, 救出, 使(气体)游离, 放出"
extrude,[eks5tru:d],"v.挤压出, 挤压成, 突出, 伸出, 逐出"
